y
faire
france
francais
etat
falloir
pouvoir
grand
crise
pays
prendre
politique
monde
temps
confinement
etre
gouvernement
mettre
jour
masque
bon
ministre
president
voir
vouloir
macron
devoir
savoir
an
deja
national
europeen
public
mesure
fois
passer
homme
venir
cas
question
vie
sanitaire
coronavirus
personne
guerre
sante
virus
petit
social
aller
annee
epidemie
droit
heure
situation
point
chose
nouveau
face
mort
dire
mois
jamais
economique
semaine
donner
avoir
place
croire
fin
emmanuel
liberte
population
risque
raison
loi
mai
enfant
connaitre
dernier
compte
union
mal
moyen
general
europe
femme
t
doute
million
frontiere
lieu
permettre
exemple
mars
nombre
travail
republique
mieux
annoncer
force
systeme
euro
part
vivre
economie
societe
vrai
agir
marche
sortir
moment
decision
mot
histoire
ordre
jean
pourtant
medecin
sens
service
paris
peuple
attendre
cause
demander
cote
debut
milliard
ville
autant
main
chine
affaire
jeune
entreprise
fort
probleme
maire
tour
devenir
entendre
pandemie
professeur
trouver
ecole
partie
comprendre
election
soir
conseil
sur
americain
hopital
malade
besoin
personnel
penser
rappeler
ancien
appeler
famille
propos
plan
nom
chef
interet
coup
ici
revenir
loin
peur
porter
saint
test
terme
actuel
arriver
municipal
gauche
maniere
or
police
information
egalement
gestion
realite
avril
idee
media
demande
sujet
partir
citoyen
long
periode
expliquer
oublier
territoire
scientifique
autorite
commencer
esprit
mondial
confiner
aide
haut
controle
important
italie
peine
tete
second
urgence
repondre
simple
necessaire
proteger
activite
condition
rester
interdire
securite
action
reprendre
local
deconfinement
discours
cours
oui
responsable
humain
forme
eviter
depute
respecter
ecrire
policier
evidemment
propre
perdre
danger
consequence
mise
eleve
decider
philippe
declarer
voire
medical
vraiment
prix
monsieur
tenir
fermer
grave
droite
chiffre
age
article
niveau
parisien
region
titre
prevoir
porte
suite
rapport
parti
journaliste
interieur
occasion
ligne
creer
imposer
payer
mauvais
vieux
nation
trump
majorite
retrouver
recevoir
continuer
resultat
boulevard
preuve
paraitre
justice
apprendre
rue
appel
reseau
soignant
confiance
etranger
ministere
international
dette
groupe
raoult
montrer
regle
financier
rendre
debat
commun
principe
sorte
prochain
chinois
reponse
maison
allemagne
difficile
œuvre
valeur
protection
servir
responsabilite
atteindre
changer
presse
membre
eglise
voltair
michel
violence
victime
laisser
priver
unis
elu
charge
armee
ensemble
travailler
verite
publier
campagne
